feature_symbol	ensembl_id	entrezgene	TenX_symbol	hgnc_symbol	chromosome	biotype	description	gc_content
RHD	ENSG00000187010	6007	RHD	RHD	1	protein_coding	Rh blood group D antigen	46.66
TMEM50A	ENSG00000183726	23585	TMEM50A	TMEM50A	1	protein_coding	transmembrane protein 50A	42.04
RHCE	ENSG00000188672	6006	RHCE	RHCE	1	protein_coding	Rh blood group CcEe antigens	46.8
MACO1	ENSG00000204178	55219	TMEM57	MACO1	1	protein_coding	macoilin 1	40.69
LDLRAP1	ENSG00000157978	26119	LDLRAP1	LDLRAP1	1	protein_coding	low density lipoprotein receptor adaptor protein 1	54.63
AL606491.1	ENSG00000225643	NA	RP11-70P17.1	NA	1	lincRNA	NA	50.97
MAN1C1	ENSG00000117643	57134	MAN1C1	MAN1C1	1	protein_coding	mannosidase alpha class 1C member 1	48.51
AL031280.1	ENSG00000233478	NA	RP1-187B23.1	NA	1	antisense	NA	51.32
SELENON	ENSG00000162430	57190	SEPN1	SELENON	1	protein_coding	selenoprotein N	56.76
AL020996.2	ENSG00000255054	NA	RP1-317E23.6	NA	1	protein_coding	NA	56.05
AL020996.1	ENSG00000228172	NA	RP1-317E23.3	NA	1	antisense	NA	57.42
MTFR1L	ENSG00000117640	56181	MTFR1L	MTFR1L	1	protein_coding	mitochondrial fission regulator 1 like	49.43
AL020996.3	ENSG00000272478	NA	RP1-317E23.7	NA	1	antisense	NA	45.5
AUNIP	ENSG00000127423	79000	AUNIP	AUNIP	1	protein_coding	aurora kinase A and ninein interacting protein	42.54
AL033528.2	ENSG00000236528	NA	RP1-125I3.2	NA	1	antisense	NA	50.6
PAQR7	ENSG00000182749	164091	PAQR7	PAQR7	1	protein_coding	progestin and adipoQ receptor family member 7	51.15
STMN1	ENSG00000117632	3925	STMN1	STMN1	1	protein_coding	stathmin 1	48.24
PAFAH2	ENSG00000158006	5051	PAFAH2	PAFAH2	1	protein_coding	platelet activating factor acetylhydrolase 2	45.67
EXTL1	ENSG00000158008	2134	EXTL1	EXTL1	1	protein_coding	exostosin like glycosyltransferase 1	55.41
SLC30A2	ENSG00000158014	7780	SLC30A2	SLC30A2	1	protein_coding	solute carrier family 30 member 2	55.89
TRIM63	ENSG00000158022	84676	TRIM63	TRIM63	1	protein_coding	tripartite motif containing 63	49.92
PDIK1L	ENSG00000175087	149420	PDIK1L	PDIK1L	1	protein_coding	PDLIM1 interacting kinase 1 like	43.1
FAM110D	ENSG00000197245	79927	FAM110D	FAM110D	1	protein_coding	family with sequence similarity 110 member D	58.12
C1orf232	ENSG00000282872	NA	RP11-96L14.8	C1orf232	1	protein_coding	chromosome 1 open reading frame 230	56.1
AL391650.1	ENSG00000236782	NA	RP11-96L14.7	NA	1	protein_coding	NA	61.54
ZNF593	ENSG00000142684	51042	ZNF593	ZNF593	1	protein_coding	zinc finger protein 593	62.91
CNKSR1	ENSG00000142675	10256	CNKSR1	CNKSR1	1	protein_coding	connector enhancer of kinase suppressor of Ras 1	55.23
CATSPER4	ENSG00000188782	378807	CATSPER4	CATSPER4	1	protein_coding	cation channel sperm associated 4	50.8
CEP85	ENSG00000130695	64793	CEP85	CEP85	1	protein_coding	centrosomal protein 85	44.77
SH3BGRL3	ENSG00000142669	83442	SH3BGRL3	SH3BGRL3	1	protein_coding	SH3 domain binding glutamate rich protein like 3	61.74
UBXN11	ENSG00000158062	91544	UBXN11	UBXN11	1	protein_coding	UBX domain protein 11	53.25
CD52	ENSG00000169442	1043	CD52	CD52	1	protein_coding	CD52 molecule	54.58
CRYBG2	ENSG00000176092	55057	AIM1L	CRYBG2	1	protein_coding	crystallin beta-gamma domain containing 2	52.62
ZNF683	ENSG00000176083	257101	ZNF683	ZNF683	1	protein_coding	zinc finger protein 683	52.46
LIN28A	ENSG00000131914	79727	LIN28A	LIN28A	1	protein_coding	lin-28 homolog A	46.58
DHDDS	ENSG00000117682	79947	DHDDS	DHDDS	1	protein_coding	dehydrodolichyl diphosphate synthase subunit	45.47
AL513365.2	ENSG00000225891	NA	RP3-476K8.3	NA	1	antisense	NA	46.28
HMGN2	ENSG00000198830	3151	HMGN2	HMGN2	1	protein_coding	high mobility group nucleosomal binding domain 2	48.34
RPS6KA1	ENSG00000117676	6195	RPS6KA1	RPS6KA1	1	protein_coding	ribosomal protein S6 kinase A1	53.51
AL512408.1	ENSG00000260063	NA	RP5-968P14.2	NA	1	antisense	NA	50.95
ARID1A	ENSG00000117713	8289	ARID1A	ARID1A	1	protein_coding	AT-rich interaction domain 1A	46.19
PIGV	ENSG00000060642	55650	PIGV	PIGV	1	protein_coding	phosphatidylinositol glycan anchor biosynthesis class V	48.34
ZDHHC18	ENSG00000204160	84243	ZDHHC18	ZDHHC18	1	protein_coding	zinc finger DHHC-type containing 18	51.59
SFN	ENSG00000175793	2810	SFN	SFN	1	protein_coding	stratifin	62.8
GPN2	ENSG00000142751	54707	GPN2	GPN2	1	protein_coding	GPN-loop GTPase 2	48.74
AL034380.1	ENSG00000226698	NA	RP1-50O24.6	NA	1	antisense	NA	47.04
GPATCH3	ENSG00000198746	63906	GPATCH3	GPATCH3	1	protein_coding	G-patch domain containing 3	50.12
NUDC	ENSG00000090273	10726	NUDC	NUDC	1	protein_coding	nuclear distribution C, dynein complex regulator	48.43
NR0B2	ENSG00000131910	8431	NR0B2	NR0B2	1	protein_coding	nuclear receptor subfamily 0 group B member 2	53.51
KDF1	ENSG00000175707	126695	KDF1	KDF1	1	protein_coding	keratinocyte differentiation factor 1	51.28
TRNP1	ENSG00000253368	388610	TRNP1	TRNP1	1	protein_coding	TMF1-regulated nuclear protein 1	55.78
TENT5B	ENSG00000158246	115572	FAM46B	TENT5B	1	protein_coding	terminal nucleotidyltransferase 5B	55.49
ENSG00000280403	NA	NA	AL137860.1	NA	NA	NA	NA	NA
SLC9A1	ENSG00000090020	6548	SLC9A1	SLC9A1	1	protein_coding	solute carrier family 9 member A1	51.71
AL590640.1	ENSG00000224311	NA	RP11-40H20.4	NA	1	antisense	NA	46.98
WDTC1	ENSG00000142784	23038	WDTC1	WDTC1	1	protein_coding	WD and tetratricopeptide repeats 1	46.51
TMEM222	ENSG00000186501	84065	TMEM222	TMEM222	1	protein_coding	transmembrane protein 222	51.87
SYTL1	ENSG00000142765	84958	SYTL1	SYTL1	1	protein_coding	synaptotagmin like 1	58.24
MAP3K6	ENSG00000142733	9064	MAP3K6	MAP3K6	1	protein_coding	mitogen-activated protein kinase kinase kinase 6	60.79
FCN3	ENSG00000142748	8547	FCN3	FCN3	1	protein_coding	ficolin 3	54.45
CD164L2	ENSG00000174950	388611	CD164L2	CD164L2	1	protein_coding	CD164 molecule like 2	60.45
GPR3	ENSG00000181773	2827	GPR3	GPR3	1	protein_coding	G protein-coupled receptor 3	57.99
WASF2	ENSG00000158195	10163	WASF2	WASF2	1	protein_coding	WAS protein family member 2	44
FO393419.2	ENSG00000241169	NA	RP4-752I6.1	NA	1	lincRNA	NA	43.77
BX293535.1	ENSG00000237429	NA	RP1-159A19.4	NA	1	antisense	NA	58.55
AHDC1	ENSG00000126705	27245	AHDC1	AHDC1	1	protein_coding	AT-hook DNA binding motif containing 1	56.39
FGR	ENSG00000000938	2268	FGR	FGR	1	protein_coding	FGR proto-oncogene, Src family tyrosine kinase	52.97
LINC02574	ENSG00000233975	NA	RP11-288L9.1	LINC02574	1	lincRNA	long intergenic non-protein coding RNA 2574	49.06
IFI6	ENSG00000126709	2537	IFI6	IFI6	1	protein_coding	interferon alpha inducible protein 6	50.03
AL445490.1	ENSG00000225886	NA	RP11-288L9.4	NA	1	antisense	NA	44.97
FAM76A	ENSG00000009780	199870	FAM76A	FAM76A	1	protein_coding	family with sequence similarity 76 member A	43.35
STX12	ENSG00000117758	23673	STX12	STX12	1	protein_coding	syntaxin 12	41.41
PPP1R8	ENSG00000117751	5511	PPP1R8	PPP1R8	1	protein_coding	protein phosphatase 1 regulatory subunit 8	44.44
ENSG00000278868	NA	NA	AL109927.1	NA	NA	NA	NA	NA
THEMIS2	ENSG00000130775	9473	THEMIS2	THEMIS2	1	protein_coding	thymocyte selection associated family member 2	54.04
RPA2	ENSG00000117748	6118	RPA2	RPA2	1	protein_coding	replication protein A2	44.15
SMPDL3B	ENSG00000130768	27293	SMPDL3B	SMPDL3B	1	protein_coding	sphingomyelin phosphodiesterase acid like 3B	49.86
AL512288.1	ENSG00000227050	NA	RP11-460I13.2	NA	1	antisense	NA	50.78
XKR8	ENSG00000158156	55113	XKR8	XKR8	1	protein_coding	XK related 8	55.55
EYA3	ENSG00000158161	2140	EYA3	EYA3	1	protein_coding	EYA transcriptional coactivator and phosphatase 3	39.52
PTAFR	ENSG00000169403	5724	PTAFR	PTAFR	1	protein_coding	platelet activating factor receptor	48
DNAJC8	ENSG00000126698	22826	DNAJC8	DNAJC8	1	protein_coding	DnaJ heat shock protein family (Hsp40) member C8	43.16
ATP5IF1	ENSG00000130770	93974	ATPIF1	ATP5IF1	1	protein_coding	ATP synthase inhibitory factor subunit 1	44.37
AL353622.1	ENSG00000270605	NA	RP5-1092A3.4	NA	1	antisense	NA	41.59
AL353622.2	ENSG00000271398	NA	RP5-1092A3.5	NA	1	lincRNA	NA	55.53
SESN2	ENSG00000130766	83667	SESN2	SESN2	1	protein_coding	sestrin 2	50.06
MED18	ENSG00000130772	54797	MED18	MED18	1	protein_coding	mediator complex subunit 18	46.05
PHACTR4	ENSG00000204138	65979	PHACTR4	PHACTR4	1	protein_coding	phosphatase and actin regulator 4	42.87
RCC1	ENSG00000180198	1104	RCC1	RCC1	1	protein_coding	regulator of chromosome condensation 1	50
TRNAU1AP	ENSG00000180098	54952	TRNAU1AP	TRNAU1AP	1	protein_coding	tRNA selenocysteine 1 associated protein 1	47.61
SNHG12	ENSG00000197989	NA	SNHG12	SNHG12	1	antisense	small nucleolar RNA host gene 12	51.03
TAF12	ENSG00000120656	6883	TAF12	TAF12	1	protein_coding	TATA-box binding protein associated factor 12	47.17
RAB42	ENSG00000188060	115273	RAB42	RAB42	1	protein_coding	RAB42, member RAS oncogene family	58.17
LINC01715	ENSG00000229388	NA	RP11-442N24__B.1	LINC01715	1	lincRNA	long intergenic non-protein coding RNA 1715	47.96
AL360012.1	ENSG00000270103	NA	RNU11	NA	1	lincRNA	NA	51.91
GMEB1	ENSG00000162419	10691	GMEB1	GMEB1	1	protein_coding	glucocorticoid modulatory element binding protein 1	45.96
YTHDF2	ENSG00000198492	51441	YTHDF2	YTHDF2	1	protein_coding	YTH N6-methyladenosine RNA binding protein 2	43.57
OPRD1	ENSG00000116329	4985	OPRD1	OPRD1	1	protein_coding	opioid receptor delta 1	50.14
AL009181.1	ENSG00000233427	NA	RP1-212P9.3	NA	1	antisense	NA	49.15
EPB41	ENSG00000159023	2035	EPB41	EPB41	1	protein_coding	erythrocyte membrane protein band 4.1	41.87
TMEM200B	ENSG00000253304	399474	TMEM200B	TMEM200B	1	protein_coding	transmembrane protein 200B	64.64
AL357500.1	ENSG00000225750	NA	RP11-242O24.3	NA	1	lincRNA	NA	47.46
SRSF4	ENSG00000116350	6429	SRSF4	SRSF4	1	protein_coding	serine and arginine rich splicing factor 4	43
MECR	ENSG00000116353	51102	MECR	MECR	1	protein_coding	mitochondrial trans-2-enoyl-CoA reductase	48.21
AL590729.1	ENSG00000237934	NA	RP11-467D18.2	NA	1	antisense	NA	48.42
PTPRU	ENSG00000060656	10076	PTPRU	PTPRU	1	protein_coding	protein tyrosine phosphatase, receptor type U	51.58
LINC01756	ENSG00000230523	NA	RP3-437I16.1	LINC01756	1	lincRNA	long intergenic non-protein coding RNA 1756	47.84
AC092265.1	ENSG00000228176	NA	RP4-656G21.1	NA	1	lincRNA	NA	54.23
LINC01648	ENSG00000233399	NA	RP11-111I12.1	LINC01648	1	lincRNA	long intergenic non-protein coding RNA 1648	42.71
AL137076.1	ENSG00000233372	NA	RP5-893G23.1	NA	1	lincRNA	NA	53.46
AL161638.2	ENSG00000236335	NA	RP4-591L5.1	NA	1	lincRNA	NA	54.5
AL161638.1	ENSG00000231949	NA	RP4-591L5.2	NA	1	lincRNA	NA	53.24
MATN1	ENSG00000162510	4146	MATN1	MATN1	1	protein_coding	matrilin 1	56.36
MATN1-AS1	ENSG00000186056	NA	MATN1-AS1	MATN1-AS1	1	antisense	MATN1 antisense RNA 1	56.43
LAPTM5	ENSG00000162511	7805	LAPTM5	LAPTM5	1	protein_coding	lysosomal protein transmembrane 5	52.62
AL137027.1	ENSG00000229607	NA	RP5-1125N11.1	NA	1	lincRNA	NA	47.06
LINC01778	ENSG00000223382	NA	RP5-1125N11.2	LINC01778	1	lincRNA	long intergenic non-protein coding RNA 1778	46.07
AL445235.1	ENSG00000235143	NA	RP1-65J11.5	NA	1	antisense	NA	51.98
SDC3	ENSG00000162512	9672	SDC3	SDC3	1	protein_coding	syndecan 3	55.72
PUM1	ENSG00000134644	9698	PUM1	PUM1	1	protein_coding	pumilio RNA binding family member 1	41.05
NKAIN1	ENSG00000084628	79570	NKAIN1	NKAIN1	1	protein_coding	sodium/potassium transporting ATPase interacting 1	50.46
SNRNP40	ENSG00000060688	9410	SNRNP40	SNRNP40	1	protein_coding	small nuclear ribonucleoprotein U5 subunit 40	42.01
ZCCHC17	ENSG00000121766	51538	ZCCHC17	ZCCHC17	1	protein_coding	zinc finger CCHC-type containing 17	41.86
AL451070.1	ENSG00000229044	NA	RP11-266K22.2	NA	1	antisense	NA	40.79
FABP3	ENSG00000121769	2170	FABP3	FABP3	1	protein_coding	fatty acid binding protein 3	50.62
SERINC2	ENSG00000168528	347735	SERINC2	SERINC2	1	protein_coding	serine incorporator 2	52.8
ENSG00000223907	NA	NA	LINC01226	NA	NA	NA	NA	NA
AC114488.1	ENSG00000229167	NA	RP11-73M7.1	NA	1	antisense	NA	53.17
TINAGL1	ENSG00000142910	64129	TINAGL1	TINAGL1	1	protein_coding	tubulointerstitial nephritis antigen like 1	55.48
HCRTR1	ENSG00000121764	3061	HCRTR1	HCRTR1	1	protein_coding	hypocretin receptor 1	54.7
PEF1	ENSG00000162517	553115	PEF1	PEF1	1	protein_coding	penta-EF-hand domain containing 1	48.36
AC114488.2	ENSG00000235790	NA	RP11-73M7.6	NA	1	antisense	NA	50.48
AC114488.3	ENSG00000264078	NA	RP11-73M7.9	NA	1	antisense	NA	47.78
COL16A1	ENSG00000084636	1307	COL16A1	COL16A1	1	protein_coding	collagen type XVI alpha 1 chain	56
ADGRB2	ENSG00000121753	576	ADGRB2	ADGRB2	1	protein_coding	adhesion G protein-coupled receptor B2	58.75
AL354919.2	ENSG00000254545	NA	RP11-84A19.3	NA	1	antisense	NA	57.68
SPOCD1	ENSG00000134668	90853	SPOCD1	SPOCD1	1	protein_coding	SPOC domain containing 1	49.3
AL354919.1	ENSG00000203620	NA	RP11-84A19.2	NA	1	lincRNA	NA	46.6
AL136115.2	ENSG00000269967	NA	RP11-84A19.4	NA	1	lincRNA	NA	43
PTP4A2	ENSG00000184007	8073	PTP4A2	PTP4A2	1	protein_coding	protein tyrosine phosphatase type IVA, member 2	41.84
AL136115.1	ENSG00000228634	NA	RP4-534N18.2	NA	1	lincRNA	NA	43.51
KHDRBS1	ENSG00000121774	10657	KHDRBS1	KHDRBS1	1	protein_coding	KH RNA binding domain containing, signal transduction associated 1	43.63
AL445248.1	ENSG00000203325	NA	RP11-277A4.4	NA	1	antisense	NA	47.71
TMEM39B	ENSG00000121775	55116	TMEM39B	TMEM39B	1	protein_coding	transmembrane protein 39B	48.85
KPNA6	ENSG00000025800	23633	KPNA6	KPNA6	1	protein_coding	karyopherin subunit alpha 6	44.21
TXLNA	ENSG00000084652	200081	TXLNA	TXLNA	1	protein_coding	taxilin alpha	50.3
CCDC28B	ENSG00000160050	79140	CCDC28B	CCDC28B	1	protein_coding	coiled-coil domain containing 28B	54.62
AL049795.1	ENSG00000224066	NA	RP4-622L5.7	NA	1	antisense	NA	59.24
IQCC	ENSG00000160051	55721	IQCC	IQCC	1	protein_coding	IQ motif containing C	55.4
DCDC2B	ENSG00000222046	149069	DCDC2B	DCDC2B	1	protein_coding	doublecortin domain containing 2B	53.13
TMEM234	ENSG00000160055	56063	TMEM234	TMEM234	1	protein_coding	transmembrane protein 234	51.46
EIF3I	ENSG00000084623	8668	EIF3I	EIF3I	1	protein_coding	eukaryotic translation initiation factor 3 subunit I	50.5
FAM167B	ENSG00000183615	84734	FAM167B	FAM167B	1	protein_coding	family with sequence similarity 167 member B	60.28
LCK	ENSG00000182866	3932	LCK	LCK	1	protein_coding	LCK proto-oncogene, Src family tyrosine kinase	49.59
HDAC1	ENSG00000116478	3065	HDAC1	HDAC1	1	protein_coding	histone deacetylase 1	46.79
MARCKSL1	ENSG00000175130	65108	MARCKSL1	MARCKSL1	1	protein_coding	MARCKS like 1	64.21
AL109945.1	ENSG00000233775	NA	RP4-811H24.9	NA	1	lincRNA	NA	52.99
TSSK3	ENSG00000162526	81629	TSSK3	TSSK3	1	protein_coding	testis specific serine kinase 3	54.7
FAM229A	ENSG00000225828	100128071	FAM229A	FAM229A	1	protein_coding	family with sequence similarity 229 member A	61.28
BSDC1	ENSG00000160058	55108	BSDC1	BSDC1	1	protein_coding	BSD domain containing 1	47.99
AL033529.1	ENSG00000254553	NA	RP1-27O5.3	NA	1	protein_coding	NA	44.62
ZBTB8B	ENSG00000273274	728116	ZBTB8B	ZBTB8B	1	protein_coding	zinc finger and BTB domain containing 8B	45.13
ZBTB8A	ENSG00000160062	653121	ZBTB8A	ZBTB8A	1	protein_coding	zinc finger and BTB domain containing 8A	43.45
ZBTB8OS	ENSG00000176261	339487	ZBTB8OS	ZBTB8OS	1	protein_coding	zinc finger and BTB domain containing 8 opposite strand	44.37
RBBP4	ENSG00000162521	5928	RBBP4	RBBP4	1	protein_coding	RB binding protein 4, chromatin remodeling factor	42.94
SYNC	ENSG00000162520	81493	SYNC	SYNC	1	protein_coding	syncoilin, intermediate filament protein	48.09
AC114489.1	ENSG00000224409	NA	RP11-114B7.6	NA	1	antisense	NA	52.79
KIAA1522	ENSG00000162522	57648	KIAA1522	KIAA1522	1	protein_coding	KIAA1522	54.38
YARS	ENSG00000134684	8565	YARS	YARS	1	protein_coding	tyrosyl-tRNA synthetase	46.35
S100PBP	ENSG00000116497	64766	S100PBP	S100PBP	1	protein_coding	S100P binding protein	41.44
FNDC5	ENSG00000160097	252995	FNDC5	FNDC5	1	protein_coding	fibronectin type III domain containing 5	54.01
HPCA	ENSG00000121905	3208	HPCA	HPCA	1	protein_coding	hippocalcin	57.12
TMEM54	ENSG00000121900	113452	TMEM54	TMEM54	1	protein_coding	transmembrane protein 54	57.33
RNF19B	ENSG00000116514	127544	RNF19B	RNF19B	1	protein_coding	ring finger protein 19B	44.34
AL020995.1	ENSG00000236065	NA	RP1-117O3.2	NA	1	antisense	NA	46.18
AK2	ENSG00000004455	204	AK2	AK2	1	protein_coding	adenylate kinase 2	46.32
AZIN2	ENSG00000142920	113451	AZIN2	AZIN2	1	protein_coding	antizyme inhibitor 2	45.93
TRIM62	ENSG00000116525	55223	TRIM62	TRIM62	1	protein_coding	tripartite motif containing 62	51.85
ZNF362	ENSG00000160094	149076	ZNF362	ZNF362	1	protein_coding	zinc finger protein 362	50.56
AL513327.3	ENSG00000270115	NA	RP11-415J8.7	NA	1	lincRNA	NA	48.19
A3GALT2	ENSG00000184389	127550	A3GALT2	A3GALT2	1	protein_coding	alpha 1,3-galactosyltransferase 2	54.19
AL513327.1	ENSG00000225313	NA	RP11-415J8.3	NA	1	antisense	NA	49.33
PHC2	ENSG00000134686	1912	PHC2	PHC2	1	protein_coding	polyhomeotic homolog 2	45.03
AL513327.2	ENSG00000233246	NA	RP11-415J8.5	NA	1	antisense	NA	45.95
ZSCAN20	ENSG00000121903	7579	ZSCAN20	ZSCAN20	1	protein_coding	zinc finger and SCAN domain containing 20	43.31
CSMD2	ENSG00000121904	114784	CSMD2	CSMD2	1	protein_coding	CUB and Sushi multiple domains 2	45.21
HMGB4	ENSG00000176256	127540	HMGB4	HMGB4	1	protein_coding	high mobility group box 4	45.45
CSMD2-AS1	ENSG00000231163	NA	CSMD2-AS1	CSMD2-AS1	1	antisense	CSMD2 antisense RNA 1	44.51
C1orf94	ENSG00000142698	84970	C1orf94	C1orf94	1	protein_coding	chromosome 1 open reading frame 94	47.51
SMIM12	ENSG00000163866	113444	SMIM12	SMIM12	1	protein_coding	small integral membrane protein 12	47.95
GJB5	ENSG00000189280	2709	GJB5	GJB5	1	protein_coding	gap junction protein beta 5	54.15
GJB4	ENSG00000189433	127534	GJB4	GJB4	1	protein_coding	gap junction protein beta 4	56.12
AL121988.1	ENSG00000255811	NA	RP1-34M23.5	NA	1	antisense	NA	50.6
GJB3	ENSG00000188910	2707	GJB3	GJB3	1	protein_coding	gap junction protein beta 3	56.92
GJA4	ENSG00000187513	2701	GJA4	GJA4	1	protein_coding	gap junction protein alpha 4	59.35
AL122010.1	ENSG00000230163	NA	RP5-997D16.2	NA	1	antisense	NA	46.75
DLGAP3	ENSG00000116544	58512	DLGAP3	DLGAP3	1	protein_coding	DLG associated protein 3	48.59
AC114490.2	ENSG00000271741	NA	RP11-244H3.4	NA	1	protein_coding	NA	39.8
TMEM35B	ENSG00000243749	100506144	ZMYM6NB	TMEM35B	1	protein_coding	transmembrane protein 35B	51.77
ZMYM6	ENSG00000163867	9204	ZMYM6	ZMYM6	1	protein_coding	zinc finger MYM-type containing 6	38.8
ZMYM1	ENSG00000197056	79830	ZMYM1	ZMYM1	1	protein_coding	zinc finger MYM-type containing 1	41.67
SFPQ	ENSG00000116560	6421	SFPQ	SFPQ	1	protein_coding	splicing factor proline and glutamine rich	41.83
ZMYM4	ENSG00000146463	9202	ZMYM4	ZMYM4	1	protein_coding	zinc finger MYM-type containing 4	38.64
ZMYM4-AS1	ENSG00000227409	NA	ZMYM4-AS1	ZMYM4-AS1	1	antisense	ZMYM4 antisense RNA 1	35.74
KIAA0319L	ENSG00000142687	79932	KIAA0319L	KIAA0319L	1	protein_coding	KIAA0319 like	41.89
NCDN	ENSG00000020129	23154	NCDN	NCDN	1	protein_coding	neurochondrin	57.71
AC004865.2	ENSG00000239636	NA	RP4-728D4.2	NA	1	antisense	NA	57.16
TFAP2E	ENSG00000116819	339488	TFAP2E	TFAP2E	1	protein_coding	transcription factor AP-2 epsilon	52.53
PSMB2	ENSG00000126067	5690	PSMB2	PSMB2	1	protein_coding	proteasome subunit beta 2	41.1
C1orf216	ENSG00000142686	127703	C1orf216	C1orf216	1	protein_coding	chromosome 1 open reading frame 216	53.73
CLSPN	ENSG00000092853	63967	CLSPN	CLSPN	1	protein_coding	claspin	42.79
AL354864.1	ENSG00000232335	NA	RP11-435D7.3	NA	1	antisense	NA	41.69
AGO4	ENSG00000134698	192670	AGO4	AGO4	1	protein_coding	argonaute 4, RISC catalytic component	41.53
AGO1	ENSG00000092847	26523	AGO1	AGO1	1	protein_coding	argonaute 1, RISC catalytic component	44.84
AL139286.2	ENSG00000271914	NA	RP4-789D17.5	NA	1	lincRNA	NA	31.82
AGO3	ENSG00000126070	192669	AGO3	AGO3	1	protein_coding	argonaute 3, RISC catalytic component	38.75
AL138787.2	ENSG00000271554	NA	RP4-665N4.8	NA	1	antisense	NA	37.8
TEKT2	ENSG00000092850	27285	TEKT2	TEKT2	1	protein_coding	tektin 2	58.32
ADPRHL2	ENSG00000116863	54936	ADPRHL2	ADPRHL2	1	protein_coding	ADP-ribosylhydrolase like 2	55.16
COL8A2	ENSG00000171812	1296	COL8A2	COL8A2	1	protein_coding	collagen type VIII alpha 2 chain	55.63
TRAPPC3	ENSG00000054116	27095	TRAPPC3	TRAPPC3	1	protein_coding	trafficking protein particle complex 3	49.8
MAP7D1	ENSG00000116871	55700	MAP7D1	MAP7D1	1	protein_coding	MAP7 domain containing 1	54.66
THRAP3	ENSG00000054118	9967	THRAP3	THRAP3	1	protein_coding	thyroid hormone receptor associated protein 3	43.72
SH3D21	ENSG00000214193	79729	SH3D21	SH3D21	1	protein_coding	SH3 domain containing 21	54.09
EVA1B	ENSG00000142694	55194	EVA1B	EVA1B	1	protein_coding	eva-1 homolog B	70.2
AL591845.1	ENSG00000116883	NA	RP11-268J15.5	NA	1	antisense	NA	52.86
STK40	ENSG00000196182	83931	STK40	STK40	1	protein_coding	serine/threonine kinase 40	52.28
LSM10	ENSG00000181817	84967	LSM10	LSM10	1	protein_coding	LSM10, U7 small nuclear RNA associated	50.65
OSCP1	ENSG00000116885	127700	OSCP1	OSCP1	1	protein_coding	organic solute carrier partner 1	45.44
MRPS15	ENSG00000116898	64960	MRPS15	MRPS15	1	protein_coding	mitochondrial ribosomal protein S15	49.28
CSF3R	ENSG00000119535	1441	CSF3R	CSF3R	1	protein_coding	colony stimulating factor 3 receptor	53.16
AC117945.1	ENSG00000234481	NA	RP4-614N24.1	NA	1	antisense	NA	48.73
GRIK3	ENSG00000163873	2899	GRIK3	GRIK3	1	protein_coding	glutamate ionotropic receptor kainate type subunit 3	49.57
AL353604.1	ENSG00000223944	NA	RP5-1180C18.1	NA	1	lincRNA	NA	49.63
LINC01137	ENSG00000233621	NA	LINC01137	LINC01137	1	antisense	long intergenic non-protein coding RNA 1137	46.75
ZC3H12A	ENSG00000163874	80149	ZC3H12A	ZC3H12A	1	protein_coding	zinc finger CCCH-type containing 12A	59.32
MEAF6	ENSG00000163875	64769	MEAF6	MEAF6	1	protein_coding	MYST/Esa1 associated factor 6	42.74
SNIP1	ENSG00000163877	79753	SNIP1	SNIP1	1	protein_coding	Smad nuclear interacting protein 1	43.23
DNALI1	ENSG00000163879	7802	DNALI1	DNALI1	1	protein_coding	dynein axonemal light intermediate chain 1	49.25
GNL2	ENSG00000134697	29889	GNL2	GNL2	1	protein_coding	G protein nucleolar 2	42.77
RSPO1	ENSG00000169218	284654	RSPO1	RSPO1	1	protein_coding	R-spondin 1	52.59
C1orf109	ENSG00000116922	54955	C1orf109	C1orf109	1	protein_coding	chromosome 1 open reading frame 109	48.39
CDCA8	ENSG00000134690	55143	CDCA8	CDCA8	1	protein_coding	cell division cycle associated 8	45.82
EPHA10	ENSG00000183317	284656	EPHA10	EPHA10	1	protein_coding	EPH receptor A10	50.36
MANEAL	ENSG00000185090	149175	MANEAL	MANEAL	1	protein_coding	mannosidase endo-alpha like	54.73
AL929472.3	ENSG00000233728	NA	RP11-109P14.9	NA	1	antisense	NA	54.91
YRDC	ENSG00000196449	79693	YRDC	YRDC	1	protein_coding	yrdC N6-threonylcarbamoyltransferase domain containing	49.48
C1orf122	ENSG00000197982	127687	C1orf122	C1orf122	1	protein_coding	chromosome 1 open reading frame 122	63.25
MTF1	ENSG00000188786	4520	MTF1	MTF1	1	protein_coding	metal regulatory transcription factor 1	43.61
INPP5B	ENSG00000204084	3633	INPP5B	INPP5B	1	protein_coding	inositol polyphosphate-5-phosphatase B	46.64
AL929472.2	ENSG00000230955	NA	RP11-109P14.10	NA	1	antisense	NA	47.51
SF3A3	ENSG00000183431	10946	SF3A3	SF3A3	1	protein_coding	splicing factor 3a subunit 3	44.59
FHL3	ENSG00000183386	2275	FHL3	FHL3	1	protein_coding	four and a half LIM domains 3	56.84
UTP11	ENSG00000183520	51118	UTP11L	UTP11	1	protein_coding	UTP11, small subunit processome component	44.58
POU3F1	ENSG00000185668	5453	POU3F1	POU3F1	1	protein_coding	POU class 3 homeobox 1	69.92
AL139158.2	ENSG00000224592	NA	RP5-884C9.2	NA	1	lincRNA	NA	49.83
LINC01343	ENSG00000237290	NA	LINC01343	LINC01343	1	lincRNA	long intergenic non-protein coding RNA 1343	51.22
LINC01685	ENSG00000238063	NA	RP11-329N22.1	LINC01685	1	lincRNA	long intergenic non-protein coding RNA 1685	45.79
